chr,start,end,value
chr7,3226,7227722,-0.482
chr7,7387758,13632289,0.496
chr7,13710813,15932004,-0.094
chr7,16028646,33534690,0.379
chr7,33875626,34350929,0.009
chr7,36237530,47774416,0.675
chr7,48153499,53639247,0.171
chr7,54293896,68302034,-0.755
chr7,71707459,73567221,-0.552
chr7,75767742,82691194,0.307
chr7,83856405,100106840,-0.052
chr7,107551874,108874817,0.345
chr7,115639917,118313489,1.09
chr7,119064523,133322990,0.905
chr7,135269722,136960176,-0.011
chr7,137578512,151857755,0.833
chr8,8696,6453749,0.221
chr8,6647416,7669112,-0.033
chr8,7735794,11351454,0.349
chr8,11482142,24596596,-0.295
chr8,25640519,30189345,0.149
chr8,30398586,35820313,0.576
chr8,38206588,54434842,-0.51
chr8,56346326,62783151,-0.601
chr8,64197475,67027095,0.19
chr8,69906054,87075019,0.756
chr8,89153867,99003685,-0.343
chr8,108232593,111140624,0.441
chr8,113453429,116942435,0.496
chr8,126385525,128138077,0.628
chr9,8073,6189432,0.213
chr9,7012351,28402924,-0.285
chr9,29499497,36240968,-0.224
chr9,37962855,39801553,-0.134
chr9,40283866,55588813,0.063
chr9,56130234,63186440,-0.352
chr9,64189032,72180531,0.414
chr9,72872738,75532247,0.362
chr9,77662983,79531197,-1.04
chr9,80778750,96796541,0.286
chr9,96819554,99740701,-0.66
chr9,100773386,129683696,-0.469
chr9,130301395,130702261,0.291
chr9,131454809,139123349,0.315
chr10,4118,11297090,0.09
chr10,11330162,15980015,0.123
chr10,16954831,26246754,-0.076
chr10,28060204,45409434,0.029
chr10,46173531,58240479,-0.57
chr10,59602625,60732987,-0.138
chr10,61725241,67486536,-0.646
chr10,68309702,77227829,0.182
chr10,78957252,86026539,-0.441
chr10,86891167,90631958,0.913
chr10,97766762,100214224,0.833
chr10,106505005,110997945,0.693
chr10,111592731,126136111,-0.317
chr11,948,2782623,-0.187
chr11,2869273,7087344,0.619
chr11,7249412,28157689,0.274
chr11,29503128,31597092,0.014
chr11,32253708,37421923,0.543
chr11,38681493,57434136,0.037
chr11,57952474,60273414,-0.785
chr11,61645477,68061638,0.106
chr11,69511630,84945897,-0.614
chr11,85031467,90548194,-0.764
chr11,97222768,112356525,-0.35
chr11,115640882,126134722,0.346
chr11,127525120,130018055,0.134
chr12,336,6700828,0.225
chr12,7034100,14279377,0.241
chr12,16322501,22170156,-0.154
chr12,24542781,38107108,0.615
chr12,38834137,41998787,0.487
chr12,42764922,68202836,-0.552
chr12,68929347,79877288,0.549
chr12,79929829,88245190,0.58
chr12,89132327,93501712,-0.292
chr12,94354792,106812966,-0.112
chr12,106983562,110632032,-0.821
chr12,110865163,111623649,0.366
chr12,112971079,131060307,0.064
chr13,6421,6159261,-0.394
chr13,6524049,15233627,-0.88
chr13,15471294,16907894,1.258
chr13,17243591,23531409,-0.321
chr13,25063242,34808146,0.286
chr13,35269873,52648474,0.019
chr13,53242219,59499170,0.537
chr13,60437790,81760664,-0.483
chr13,82450757,84941158,-0.411
chr13,85007614,102089935,-0.928
chr13,103734382,114721400,0.354
chr14,2912,9702867,0.301
chr14,9874782,17090063,-1.064
chr14,18781317,25676845,-0.725
chr14,26581456,35977932,0.156
chr14,36497356,40355476,0.131
chr14,41493109,57290156,-0.549
chr14,58870982,59614969,0.939
chr14,60054174,70992393,0.632
chr14,71213738,91892363,1.285
chr14,92193512,102979475,0.001
chr14,103886102,105957190,0.944
chr15,11087,26518274,-0.399
chr15,27903568,35494569,0.046
chr15,36516903,45214719,-0.461
chr15,45295479,54123659,0.458
chr15,55219569,57383691,0.841
chr15,57946933,63736781,0.64
chr15,64073040,66187118,0.286
chr15,67079771,75040940,-0.877
chr15,76477843,81061739,0.112
chr15,82457335,98047902,0.532
chr16,9590461,11888320,-0.055
chr16,12096240,15648240,0.129
chr16,16262700,25027947,-0.48
chr16,26411118,28512045,-0.33
chr16,28999256,36232266,-0.399
chr16,37175561,45562782,0.248
chr16,46902196,56473707,-0.837
chr16,57000143,78382138,-0.422
chr16,80536901,88983438,-0.739
chr17,700,7943353,0.204
chr17,8832844,17234212,0.43
chr17,18569547,26731754,0.111
chr17,27758438,32432788,-0.213
chr17,33742155,41890766,-0.278
chr17,42294991,48738065,0.296
chr17,49951783,63809308,-0.205
chr17,64444327,75287302,0.511
chr18,7095,3577626,0.395
chr18,3883070,20609617,-0.703
chr18,21653413,36267606,0.446
chr18,36515737,49799566,-0.386
chr18,50445584,59336052,-0.741
chr18,60031648,67358141,-0.475
chr18,69816447,71132818,-0.138
chr18,74611194,76198767,0.378
chr19,569,10425586,0.282
chr19,12280218,22657017,0.354
chr19,23659329,34719452,-1.146
chr19,38034251,38877000,-0.419
chr19,38883353,42763954,-0.041
chr19,44092510,51720905,-0.025
chr20,34,8513376,-0.481
chr20,8692597,13850582,0.126
chr20,15219969,18741254,-0.434
chr20,19229663,29390675,-0.406
chr20,30020035,45483659,0.2
chr20,46001015,55279348,-0.244
chr21,49334,11568382,-0.519
chr21,13646634,21299642,0.286
chr21,22288481,23438253,-0.661
chr21,24213401,36805275,-0.046
chr21,37513541,47306302,0.105
chr22,26,5873646,0.242
chr22,5962056,13501607,0.38
chr22,13666496,18642554,-0.155
chr22,18778408,26691645,0.172
chr22,27607997,45607562,0.725
chrX,433,1751330,0.482
chrX,1989948,16914880,0.317
chrX,18524301,18609733,0.028
chrX,19645586,22666264,0.524
chrX,22922663,26823780,0.395
chrX,28849563,29434035,0.551
chrX,30854247,45605453,0.527
chrX,46121891,54117079,-0.111
chrX,55447601,74584622,0.013
chrX,75070911,76227051,0.32
chrX,77691170,87371249,0.694
chrX,88188471,115956819,0.418
chrX,116914226,123878151,0.351
chrX,124560778,143611257,-0.271
chrX,153589336,153680558,0.546
chrY,722,14016683,0.39
chrY,14902371,16625051,0.309
chrY,16927713,19141862,-0.533
chrY,19269855,38751426,0.184
chrY,39365886,42878757,0.732
chrY,43737358,49145653,-0.572
