chr,start,end,value1
chr5,42714524,46771119,0.296
chr5,65588996,72015486,-0.103
chr5,77404201,84595999,-0.165
chr5,86665564,92016250,-0.731
chr5,93952187,103903146,-0.109
chr5,106832161,110313505,-0.027
chr5,110647877,122086277,-0.138
chr5,122865681,124213372,-0.076
chr5,127501081,129957214,-0.289
chr5,137231905,137333441,0.18
chr5,141414999,144564511,0.441
chr5,145772514,147254761,0.12
chr5,148417834,154717650,0.189
chr5,168220992,170752342,0.524
chr5,176600775,178727597,0.315
chr6,8113503,13764017,0.242
chr6,13859442,16708628,-0.113
chr6,17274225,21618184,0.166
chr6,25541024,25551282,-0.006
chr6,35253611,43202890,0.578
chr6,46339048,46453558,0.034
chr6,48867662,52944582,0.017
chr6,55395625,58178153,0.141
chr6,70450829,75484864,0.205
chr6,86523512,95964425,-0.114
chr6,97531613,98021992,-0.031
chr6,102978978,103241688,0.042
chr6,116832113,121971473,-0.603
chr6,123462592,124128189,-0.399
chr6,125367926,130724494,-0.365
chr6,133224500,136386538,0.581
chr6,141319082,151935424,-0.238
chr6,160299660,166061117,-0.108
chr7,3169912,4292324,0.109
chr7,6437293,8024762,0.492
chr7,11635497,21399952,-0.107
chr7,23976588,39560200,-0.47
chr7,41273165,43514382,0.631
chr7,44570779,54399176,-0.061
chr7,56847169,61830553,0.721
chr7,64273647,74898597,-0.593
chr7,75459574,75489067,-0.321
chr7,78970990,81302824,-0.217
chr7,86667885,87245984,-0.102
chr7,88420966,96309149,0.123
chr7,101692132,106197988,0.314
chr7,117139001,120050460,-0.434
chr7,124307293,136319083,-0.617
chr7,139788306,143982140,0.008
chr7,146159539,149113475,-0.309
chr8,3747778,4751898,0.409
chr8,21662429,21817884,-0.095
chr8,21904130,27475641,-0.313
chr8,40877349,41059087,-0.182
chr8,47234627,51998015,-0.414
chr8,57119925,62044942,-0.688
chr8,62274632,65250146,0.8
chr8,76247303,86230137,-0.434
chr8,87915115,88872008,0.086
chr8,98638736,100083442,0.347
chr8,103552777,106841699,0.347
chr8,113432182,116189538,-0.729
chr8,126232174,128479789,0.05
chr8,135502912,141483853,0.044
chr8,142438057,142770808,-0.323
chr9,4097198,4567121,-0.078
chr9,11080511,16433419,0.037
chr9,17817713,19222532,-0.319
chr9,26852646,35308717,-0.08
chr9,36943256,37461459,0.228
chr9,38806703,46887862,0.301
chr9,53585876,60211574,-0.253
chr9,62096862,62880314,-0.019
chr9,63792009,74475962,0.09
chr9,75463624,80835258,-0.097
chr9,84914847,88025081,-0.016
chr9,88265785,89340963,-0.083
chr9,89352351,96200960,0.081
chr9,119405198,123617795,-0.234
chr9,130942865,135954413,0.511
chr10,11358769,12942805,-0.252
chr10,13433532,16677717,-0.433
chr10,17126906,22727984,-0.237
chr10,24833044,28211378,0.62
chr10,28462806,32334022,-0.312
chr10,36024038,39852907,-0.46
chr10,40688894,43674824,-0.404
chr10,44429854,45847836,-0.34
chr10,52064751,55516030,-0.207
chr10,61459889,75113750,0.341
chr10,99127654,105306289,0.01
chr10,106395732,108742014,-0.771
chr10,112459201,119213046,-0.413
chr10,123140706,129611957,0.228
chr11,2107177,7706239,-0.039
chr11,13192066,13853785,-0.217
chr11,17710636,18654576,-0.74
chr11,19787214,42229003,-0.241
chr11,45148937,46963564,0.619
chr11,47913973,52236283,0.164
chr11,53255061,64965486,-0.827
chr11,66654526,70214826,0.436
chr11,82388816,85290293,0.029
chr11,88697593,91285192,0.457
chr11,96222813,100006806,-0.313
chr11,105059158,111154380,-1.665
chr11,113252921,126094411,0.535
chr11,126195984,133656420,-0.237
chr12,2140357,8124494,-0.63
chr12,8481855,13278801,0.001
chr12,16482556,16501810,-0.584
chr12,18189127,19167229,-0.835
chr12,20161696,34123376,-0.318
chr12,37098091,49929532,-0.784
chr12,51716741,66821748,-0.484
chr12,74337445,77354505,0.273
chr12,82322826,91236305,-0.274
chr12,97165320,97697098,0.968
chr12,101131470,101487170,0.675
chr12,103893240,104553202,-0.013
chr12,115261860,120141658,-0.341
chr12,121910350,129317420,1.143
chr13,3020527,11583520,-0.17
chr13,16675337,25098722,-0.191
chr13,27865753,36094454,-0.769
chr13,36832130,38446249,-0.529
chr13,38713696,38878954,1.044
chr13,41715297,48246977,0.158
chr13,57569190,66312928,0.298
chr13,66413994,67889022,0.044
chr13,67897486,78323475,-0.04
chr13,83190448,95422418,0.373
chr13,96499375,100777935,0.914
chr13,109165536,110755802,1.2
chr14,8989589,14486005,-0.08
chr14,15783272,16480106,-0.636
chr14,18054574,22072400,0.04
chr14,33758067,37359211,0.002
chr14,41785827,45638187,-0.203
chr14,47827274,56630620,0.356
chr14,58882484,60643107,-0.332
chr14,66536424,70803809,0.01
chr14,74755604,88376516,0.681
chr14,92530099,94731872,-0.708
chr14,100865224,107345148,0.028
chr15,6061884,7454075,0.754
chr15,13012951,13578010,0.027
chr15,17509690,18436574,-0.107
chr15,24154551,24950016,0.556
chr15,45577411,49972852,-0.552
chr15,54821862,60513431,-0.094
chr15,61401466,62229749,0.301
chr15,65956400,69819470,0.536
chr15,82236718,83087032,1.558
chr15,83465876,94595101,-0.118
chr15,99440839,101675386,0.456
chr16,7535944,9115707,0.065
chr16,17014551,19850065,-0.359
chr16,19862223,21206927,-0.095
chr16,29824797,34442285,0.626
chr16,36058680,36789638,-0.391
chr16,38595137,38708114,-0.514
chr16,48371561,56143490,-0.273
chr16,57372881,61749444,-0.234
chr16,67947663,71495087,-0.506
chr16,71508626,87024367,-0.398
chr17,4435669,12821502,-0.039
chr17,20383493,21006882,0.169
chr17,21444595,21725371,0.04
chr17,28326675,29161467,-0.033
chr17,46024632,47212970,0.181
chr17,49913273,55398987,0.271
chr17,60876516,65499081,-0.495
chr17,66948994,68352542,-0.002
chr17,71445803,78986215,-0.659
chr18,6721374,10133123,-0.309
chr18,18054553,20073004,0.21
chr18,21201200,21763492,0.351
chr18,27603960,32926494,0.364
chr18,37833982,39689405,0.047
chr18,42693847,46775739,-0.196
chr18,47981882,61731089,-0.256
chr18,63673025,65640088,-0.624
chr19,1404260,6690714,0.4
chr19,12966555,14159540,0.077
chr19,15937698,16187641,0.59
chr19,16900979,25599602,0.063
chr19,26008632,39354653,0.551
chr19,47230743,57276619,0.256
chr20,4895724,8241294,-0.12
chr20,15046370,19931059,0.293
chr20,31716037,33220866,-0.252
chr20,35165330,35455420,-0.031
chr20,40245392,52302426,0.629
chr20,53495770,53515645,-0.556
chr20,55339712,58226191,0.502
chr21,5754034,14488244,-0.164
chr21,21357447,22169439,-0.644
chr21,25863459,30101275,-0.015
chr21,30979576,35262274,0.684
chr21,39690804,46570164,-0.82
chr22,404412,6350485,-0.175
chr22,11779791,13256687,1.066
chr22,30318147,32942557,-0.05
chr22,33176456,37542047,0.564
chr22,39649047,43170028,-0.086
chr22,47989855,49459225,0.135
chrX,1269713,3285766,0.142
chrX,6275858,22012280,-0.296
chrX,26672581,28561430,-0.581
chrX,32559264,39227096,-1.092
chrX,41115255,56579494,-0.124
chrX,58235767,66032465,-0.288
chrX,79565144,89385330,-0.528
chrX,103198320,106747848,0.228
chrX,110590607,111033936,-0.401
chrX,113013560,113454221,-0.583
chrX,113746797,113809707,-0.484
chrX,114284786,116192387,0.074
chrX,117281713,120743598,0.071
chrX,120979629,135143794,0.203
chrX,136456234,138250972,-0.706
chrX,142586069,151893113,0.046
chrY,2522441,7953396,-0.408
chrY,9192782,14994532,0.785
chrY,16817116,20261287,-0.581
chrY,31438089,34043037,-0.413
chrY,34322717,41863233,-0.22
chrY,45312038,59256751,0.508
