chr,start,end,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
chr4,23364532,24994750,-0.522,-0.527,-0.395,-0.244,0.009,-0.077,0.135,-1.109,-0.971,-0.564
chr4,26037087,30535112,-0.084,0.323,0.788,-0.125,0.458,-1.263,-0.485,0.292,-0.036,-0.536
chr4,36805545,56289462,-1.236,-0.751,-0.291,0.309,-0.053,-0.175,0.229,-0.229,0.071,0.678
chr4,69523448,82112433,0.436,0.388,-0.989,-0.724,0.311,-0.201,-0.168,-0.007,0.739,0.495
chr4,113297313,127592873,-0.766,0.309,-0.478,0.6,0.43,-0.273,-0.137,-0.754,-0.604,-1.128
chr4,130522192,142686922,0.56,0.185,-0.72,0.234,0.515,0.624,0.288,-0.32,-0.427,-0.329
chr4,147625838,161001840,0.905,-0.807,-0.085,-0.423,0.086,-0.506,0.318,-0.512,0.002,0.599
chr4,164270207,176657538,-0.26,0.339,0.514,-0.629,0.951,-0.174,-0.695,-0.199,0.187,-0.325
chr5,8910650,10080670,0.175,-0.855,0.934,-0.914,0.879,-0.181,-0.512,-0.074,0.302,0.04
chr5,13535538,32715550,0.088,0.005,1.005,-0.076,-0.007,0.371,0.494,-0.236,0.219,-0.422
chr5,38688182,60199113,0.731,-0.334,-0.266,-0.519,0.279,0.181,-0.212,0.06,0.647,0.337
chr5,69335125,69526214,0.564,-0.399,0.821,0.719,0.376,0.791,-0.016,-0.088,-0.332,0.31
chr5,72377154,96107044,0.163,0.299,0.188,-0.609,0.799,1.025,0.112,0.137,0.095,-0.482
chr5,102386543,121803230,1.173,0.758,0.029,0.032,-0.748,0.165,-0.357,0.064,0.256,-0.329
chr5,129478175,130405783,0.217,0.144,0.461,-0.243,-0.842,0.504,-0.026,-0.525,1.165,0.167
chr5,165098381,169336984,0.565,-0.76,-0.96,-0.006,-0.963,0.46,0.231,-0.383,0.115,-0.827
chr6,1610866,13143822,0.405,-0.438,-0.972,-0.374,0.125,-0.567,-0.077,0.178,0.427,-0.324
chr6,52452279,57599571,-0.683,0.913,0.379,-0.072,0.193,0.369,0.369,-0.704,-0.384,-0.321
chr6,62565594,67307434,-0.2,-0.011,-0.773,0.081,0.033,-0.321,0.111,-0.786,0.228,-0.011
chr6,91250843,105393376,-0.254,0.03,0.015,0.458,-0.212,-0.496,0.243,0.646,0.522,0.296
chr6,110925964,123043928,0.619,0.162,0.038,-0.595,0.123,0.109,0.506,-0.006,0.251,0.316
chr6,125016937,132950089,-1.125,0.482,-0.263,-0.079,-0.638,-0.717,0.01,-1.037,-0.948,-0.306
chr6,134593888,146421919,0.071,-0.574,-0.167,0.542,1.301,-0.722,-0.544,0.062,-0.032,-0.048
chr7,9333245,11185543,0.442,0.38,-1.139,-0.352,-0.338,-0.021,-0.118,-0.11,0.379,-0.38
chr7,12717294,27297461,-0.404,0.264,0.131,0.24,-0.565,0.092,0.21,-0.739,0.855,0.785
chr7,30611915,36307286,0.173,0.029,-0.144,0.589,-0.124,0.393,0.079,0.495,0.623,0.294
chr7,50537753,66588183,-0.261,0.151,-1.149,0.532,-0.023,0.161,0.421,0.411,0.038,0.545
chr7,90815098,104512145,0.023,-0.381,-0.346,0.531,-0.196,-0.262,0.419,-0.225,-0.132,-1.075
chr7,125790395,143474981,-0.363,-0.17,-0.98,-0.123,0.344,-0.005,-0.42,0.279,0.27,0.252
chr7,148474024,152881219,-0.446,0.362,0.498,0.4,-0.207,0.331,0.312,-0.094,-0.212,0.818
chr8,907892,3993257,0.295,0.235,-0.886,-0.312,-0.077,-0.193,0.083,0.208,-0.495,-0.216
chr8,10180052,14671019,0.134,-0.627,0.1,-1.266,0.605,0.48,-0.013,0.886,0.476,-0.514
chr8,51536782,55647068,-0.482,0.268,0.513,-0.419,0.628,-0.084,0.072,-0.033,-0.464,-0.559
chr8,61001873,76580973,-0.299,-0.321,0.039,0.52,0.608,-0.026,0.848,0.089,-0.328,-0.911
chr8,112237545,120363101,-0.847,-0.158,0.067,0.289,-0.506,-0.108,0.236,0.011,0.438,0.49
chr8,120755231,136713678,-0.58,0.778,-0.175,-0.048,0.638,-0.117,-0.555,-0.509,0.741,0.304
chr9,4599919,5057294,0.281,0.136,-0.216,-0.828,0.247,-0.58,0.054,0.264,0.522,-0.48
chr9,33744204,47715201,0.232,-0.42,0.179,-0.107,0.229,-0.076,0.536,0.454,-0.456,-0.341
chr9,58893524,73439620,0.557,0.264,0.537,0.349,-0.139,-0.465,-0.185,-0.996,0.571,-0.085
chr9,74861310,82419273,-0.421,-0.018,0.182,0.318,-0.228,0.94,0.19,-0.137,0.491,0.212
chr9,93081241,109065709,-0.48,0.956,-0.981,0.155,-0.28,-0.758,0.333,-0.046,0.019,0.138
chr9,131163821,140890944,0.005,0.794,-0.357,-0.175,0.354,0.205,0.592,0.793,0.23,-0.911
chr10,8213080,18764940,-0.615,0.272,0.008,-0.022,-0.109,0.813,0.23,0.031,0.149,0.057
chr10,30935596,33856583,-0.005,-0.026,-1.097,-0.705,-0.553,0.135,0.179,-0.37,-0.43,0.956
chr10,35157385,45919749,0.622,0.591,0.129,-0.469,0.067,0.117,-0.376,-0.447,-0.307,-0.728
chr10,64096883,84132861,1.239,-0.252,-0.095,-1.142,-0.188,0.8,0.253,0.331,0.686,0.589
chr10,86753112,96538465,-0.29,-0.46,0.149,-0.193,0.322,-0.665,0.284,-0.077,0.889,-0.972
chr10,117333181,128429769,0.129,0.104,-0.677,0.185,-0.184,0.38,0.019,0.307,0.877,-0.598
chr11,6210755,8255683,-0.278,0.11,-0.257,-0.019,1.04,-0.395,-0.064,0.527,-0.427,-0.165
chr11,15496327,16100447,0.131,0.134,-0.253,0.659,0.137,-0.336,0.083,-0.194,0.462,0.635
chr11,26502139,41332053,0.151,0.042,0.377,-0.269,0.439,0.419,-0.921,0.592,-0.473,0.161
chr11,42478789,48322068,0.047,-0.256,0.285,0.437,-0.145,0.327,0.11,-0.105,-0.61,-0.361
chr11,49195071,59115673,0.881,-0.323,0.494,0.712,0.297,-0.352,-0.536,-0.166,-0.559,0.325
chr11,84998104,110491301,-0.135,0.021,-0.397,0.121,-0.007,-0.835,0.008,-0.355,-0.295,-0.534
chr12,9932221,10850346,-0.204,0.451,0.441,-0.494,-0.074,-0.061,0.212,0.312,-0.614,-0.368
chr12,15169509,15777040,0.103,-0.244,-0.535,0.747,0.544,-0.222,-0.513,-0.317,-0.281,0.38
chr12,17185683,33151631,0.67,-0.019,0.149,-0.194,0.943,0.449,0.236,-0.244,-0.605,-0.555
chr12,41227047,53351107,0.496,-0.126,-0.175,-0.792,0.517,-0.681,0.996,-0.301,0.556,0.345
chr12,54601711,78619196,-0.646,1.075,-1.416,-0.231,-0.461,-0.051,-0.096,-0.694,-0.592,0.071
chr12,89632193,93507969,-0.411,0.392,-0.349,-0.206,-0.922,-0.615,0.074,0.307,0.453,1.385
chr13,46139794,51387536,0.344,-0.092,0.431,-0.611,-0.128,-0.305,0.353,0.651,-0.423,-0.456
chr13,63085808,64091349,0.028,-0.191,0.101,-0.21,-0.216,0.126,0.227,-0.319,-0.317,0.876
chr13,66817650,70405705,1.534,-0.941,-0.066,0.103,-0.389,0.361,0.265,-0.085,-0.209,-0.49
chr13,74201185,79091948,0.488,-0.256,0.037,-0.895,-0.65,0.387,0.028,0.009,-0.587,0.015
chr13,86748727,112782735,0.334,-0.156,-0.352,0.611,0.721,-0.33,0.558,0.366,0.01,0.77
chr14,1116066,20090491,0.561,-0.194,0.091,-0.506,-0.776,0.117,0.196,-0.387,-0.309,-1.141
chr14,27650669,30401292,0.352,0.153,-0.255,0.733,0.393,-0.939,0.332,-0.454,0.336,0.26
chr14,62694287,77523317,0.393,-0.065,-0.069,0.295,0.023,-0.19,-0.637,0.527,-0.58,-0.397
chr14,86900444,95204023,0.018,-0.175,-1.232,0.648,0.113,-0.258,0.328,-0.236,-0.723,0.133
chr14,97758413,103106406,-0.919,0.718,0.152,-0.224,-0.011,-0.368,0.359,-0.019,0.242,-0.396
chr15,69148,17057824,-0.448,0.308,-0.714,0.203,0.28,0.393,-0.453,-0.096,0.19,-0.523
chr15,20377064,34363676,-0.619,0.561,-0.173,-0.258,-0.657,0.713,0.306,-0.688,0.536,-0.65
chr15,53408070,55798185,-0.7,0.018,0.251,-0.122,-0.324,0.007,0.242,0.316,0.805,-0.167
chr15,63105607,69194233,0.019,-1.057,-0.933,-0.029,-0.116,-0.071,0.509,0.747,0.072,-0.105
chr15,76170063,84843708,-0.764,-1.049,-0.483,-0.46,-0.306,0.271,-0.385,0.591,0.146,0.352
chr16,17196451,18340259,-0.58,0.435,-1.788,-0.246,0.124,0.466,-0.049,0.315,-0.443,-0.072
chr16,25472831,32060331,0.614,-0.255,0.506,1.199,0.64,0.542,0.005,0.742,-0.433,-0.897
chr16,35184808,43052610,-0.478,-0.064,-0.18,0.4,0.66,0.474,-0.17,-0.716,-0.424,0.506
chr16,71364342,77790618,-0.09,-0.383,0.458,-0.436,-0.516,-0.095,-0.214,-1.262,-0.353,-0.455
chr17,28980810,37044050,0.299,-0.912,-0.022,0.054,0.044,-0.011,-1.593,-0.304,0.139,-0.34
chr17,49339178,51043179,0.1,-0.286,-0.243,-0.281,-0.655,1.188,-0.114,-0.041,-0.904,0.043
chr17,56321294,70581501,0.24,-0.108,0.441,0.505,0.275,0.574,0.096,-0.254,0.37,-0.589
chr17,75516434,77666805,-1.186,0.56,-0.056,-0.213,-0.838,-0.015,-0.66,-1.24,0.098,-0.544
chr18,24625838,26706768,0.796,-0.374,-0.281,1.461,0.472,0.086,-0.646,0.235,-0.396,0.023
chr18,31857989,33707038,0.65,-0.384,-0.345,-0.447,-0.327,-0.117,-0.159,0.808,0.322,0.428
chr18,35633572,48792928,0.282,0.288,-0.032,0.685,-0.741,0.693,0.607,-1.128,0.289,0.144
chr18,63265926,64579435,-0.382,1.145,0.393,0.148,0.642,-0.8,-0.606,-0.603,-0.073,0.807
chr19,7487556,21013983,-0.394,-0.301,1.32,0.811,-0.589,0.12,0.572,1.14,-0.703,0.256
chr19,34487078,46584875,0.212,0.12,-0.493,0.173,0.33,0.017,-0.092,-0.225,0.049,0.459
chr19,50588051,51056827,0.44,0.252,0.018,-0.433,0.421,1.079,-0.216,-0.141,-0.381,0.106
chr20,4487716,13781691,-0.968,-0.136,1.122,0.889,0.009,-0.354,-0.124,-0.262,-0.025,-0.018
chr20,17440060,31439289,-0.455,1.076,-0.641,-0.2,0.04,-0.185,0.267,-0.047,0.471,0.772
chr20,52067883,56907899,1.005,0.112,0.117,-0.752,-0.613,-1.011,-0.694,0.013,0.388,-0.583
chr21,9083079,22946038,-0.483,0.158,0.197,0.67,0.54,0.228,1.009,0.672,-0.454,0.3
chr21,24124713,44074650,-0.184,0.469,-0.185,-0.711,0.567,0.927,-0.034,-0.884,0.325,-0.565
chr22,9049987,10148515,-0.45,-0.402,-0.557,0.258,0.438,0.904,-0.345,0.194,0.594,-0.286
chr22,18874886,36204682,0.461,-0.232,-0.327,-1.107,0.306,-0.056,0.292,0.414,-0.381,-0.07
chrX,9429106,22176535,-0.049,-0.319,0.614,-0.073,-0.757,-0.129,-0.011,-0.539,0.253,-0.768
chrX,33237871,35456532,-0.723,-0.747,0.219,0.435,-0.237,-0.022,0.097,0.567,-0.426,0.067
chrX,48006857,50891425,0.236,-0.426,0.159,-0.152,0.295,-0.053,-0.583,1.425,-0.322,-0.308
chrX,51362515,57461501,0.204,-0.339,-1.19,-0.274,-0.861,-1.052,0.027,0.566,-0.515,0.598
chrX,94838523,117825639,0.942,-0.693,-0.198,0.507,0.428,-0.108,-0.076,-0.004,-0.015,-0.671
chrX,128760350,134247282,0.553,0.181,-0.077,-0.596,0.654,-0.569,0.635,0.208,-0.018,0.375
chrX,144563215,147755086,0.305,0.397,-0.07,-0.8,0.288,0.124,-0.25,-0.31,-0.094,0.417
chrY,8156072,8295584,-0.537,-0.176,-0.408,-1.01,-0.426,-0.681,0.067,0.359,0.127,-0.362
chrY,11681859,19646964,0.252,-0.907,0.463,-0.953,0.775,-0.013,-0.047,0.037,0.467,-0.248
chrY,29619210,45371153,0.998,1.093,-0.479,-0.258,0.003,-0.627,-0.413,-0.783,-0.317,0.75
