chr,start,end,value
chr4,124465720,128262006,0.446
chr4,136263783,136704997,0.457
chr4,137006027,145619806,0.369
chr4,155813350,159636189,-0.104
chr4,160052696,164253999,0.368
chr4,165475689,168588193,0.394
chr4,172992292,180234026,-0.225
chr4,182663364,187153582,0.035
chr5,926394,2461362,-0.071
chr5,7028438,14627522,0.174
chr5,18695375,22796412,0.114
chr5,35746218,36944345,0.32
chr5,44362010,53608867,-0.045
chr5,59540377,60167450,0.345
chr5,68897249,70902950,-0.857
chr5,77763879,80508635,0.224
chr5,81003301,83939921,0.952
chr5,84341244,93367290,-0.144
chr5,107729751,112004788,0.58
chr5,115092061,116014805,0.506
chr5,122796508,123755257,0.062
chr5,128212367,143190445,-0.153
chr5,144837438,150011987,0.462
chr5,153173993,154719442,0.421
chr5,157758550,161839769,0.42
chr5,174257503,177473823,0.044
chr5,179353541,179355785,0.42
chr6,6656943,15095867,-0.116
chr6,15984841,18220877,-0.824
chr6,30826393,34381689,-0.282
chr6,37455538,41643895,-0.508
chr6,45903353,53742447,-0.176
chr6,55407551,56014361,-0.106
chr6,57050057,75985582,-0.747
chr6,79627410,80386719,0.246
chr6,83860104,83965175,-1.027
chr6,88473932,100674041,-1.262
chr6,112950823,119312527,0.911
chr6,128026505,128300330,0.628
chr6,138531792,140411817,0.071
chr6,154517911,154577931,-0.307
chr6,155180343,157686769,-0.073
chr6,159245760,162260759,0.335
chr6,163498384,167490294,0.878
chr6,168377802,169637591,-0.031
chr7,3717722,11341539,0.104
chr7,11939095,21307039,0.188
chr7,22429333,23919101,-0.106
chr7,26951652,27460470,0.141
chr7,28005007,36408475,-0.845
chr7,37828954,45510261,0.212
chr7,46603089,49459652,-0.708
chr7,53379468,55151227,0.238
chr7,56055211,65079657,-0.296
chr7,77156513,79038981,-0.155
chr7,86215222,98185827,-0.686
chr7,100093475,113037491,-0.7
chr7,119096136,120039191,-0.283
chr7,123461106,128803487,1.057
chr7,132947982,134371644,0.327
chr7,140010766,140017296,-0.844
chr7,150581963,158645948,1.232
chr8,16635690,17078726,0.085
chr8,28493218,31056007,-0.009
chr8,58891366,71682760,0.856
chr8,77798448,78691017,-0.433
chr8,79093374,82890571,-0.651
chr8,83024879,83134991,0.354
chr8,83281096,89736885,0.916
chr8,91848785,93882499,-0.187
chr8,96700994,98035003,0.888
chr8,101831283,103071855,0.27
chr8,109045298,111321674,-1.027
chr8,119763743,120221037,-0.447
chr8,124878967,126472196,0.134
chr8,134025343,138548858,-0.242
chr8,138611393,138822204,-0.382
chr9,4828275,11438119,0.402
chr9,12250636,13618315,-0.319
chr9,24750216,24786318,0.96
chr9,26694991,31364313,-0.726
chr9,46100002,51444987,0.086
chr9,56773084,58391580,1.302
chr9,59024024,61445115,-0.828
chr9,72996454,76976326,-0.101
chr9,77221071,77604504,-0.734
chr9,83778665,101395450,0.58
chr9,103440648,106868837,-0.335
chr9,109678054,117611546,0.703
chr9,125498308,133242489,-0.52
chr9,133886946,138000064,0.54
chr9,139887943,140911964,0.144
chr10,6847158,8651480,0.106
chr10,11851778,22769761,-0.158
chr10,23704731,41978461,0.159
chr10,46625455,51556666,-0.027
chr10,56732367,56956126,-0.401
chr10,58353774,68119558,-1.428
chr10,68169798,73942294,-0.787
chr10,82331432,83234356,-0.786
chr10,86099987,92753813,-0.314
chr10,94282133,97711390,0.285
chr10,98018276,98601238,-0.05
chr10,98976703,99176909,-0.408
chr10,108219190,117818247,0.409
chr10,118180389,126364974,-0.005
chr11,1057662,3121490,-0.827
chr11,4788689,19397661,0.572
chr11,23879410,29627657,-0.078
chr11,33476098,38433495,-0.687
chr11,42155238,46215441,0.319
chr11,58433803,63667911,-0.034
chr11,64751477,68332974,0.02
chr11,79451694,81142433,-0.005
chr11,83105168,85024701,0.701
chr11,90210442,103054933,0.607
chr11,116063941,117638498,-0.04
chr11,118420115,118952389,0.542
chr11,120566580,120800103,-0.336
chr11,127623336,129388945,-0.042
chr12,1941140,9733877,-0.113
chr12,10177282,10976500,-0.096
chr12,11405870,12061368,0.498
chr12,12760674,22241803,0.16
chr12,36640953,40642085,0.318
chr12,45587682,48835100,0.552
chr12,50438252,50602819,-0.217
chr12,63723821,68038613,-0.3
chr12,68405603,74073536,-0.35
chr12,74750458,75084120,-1.016
chr12,105769939,107670627,-0.45
chr12,111267596,114151400,-0.781
chr12,115172399,115291698,0.265
chr12,119482998,128761567,-0.1
chr13,4810091,21180378,0.478
chr13,21284704,23025267,-0.289
chr13,26728972,29804118,0.278
chr13,34234707,38395980,-0.131
chr13,39968906,48134425,0.386
chr13,56206532,60329263,-0.705
chr13,62071394,64490387,-0.267
chr13,64922614,66745971,-0.462
chr13,82066627,85709093,0.158
chr13,93185183,98882743,0.207
chr13,100021766,101880877,0.438
chr13,105433788,110692913,-0.428
chr14,1464317,2875625,-0.733
chr14,11511975,12626041,-0.281
chr14,17198014,24554557,0.283
chr14,28905461,30435933,0.401
chr14,31809483,40550195,0.31
chr14,45816054,47595547,-0.31
chr14,70527824,72132671,-0.338
chr14,76357311,80010521,-0.53
chr14,81155476,83284934,-0.475
chr14,87888162,91696962,-0.048
chr14,101789921,105828584,0.419
chr15,4172339,8981726,0.693
chr15,15277069,18807415,-0.44
chr15,24372921,27153389,0.027
chr15,31901288,34315773,0.197
chr15,43064130,44689398,-0.683
chr15,47213394,75520281,1.037
chr15,77059491,82022853,-0.35
chr15,83091212,88470087,-0.004
chr15,91026149,91930067,-0.405
chr15,92344972,96228445,0.645
chr15,99617418,102270939,0.073
chr16,392504,2511608,0.477
chr16,10389388,11386569,0.281
chr16,20038073,28904276,0.24
chr16,43192425,44864200,-0.351
chr16,48362912,49992301,-0.657
chr16,57863823,64294473,0.039
chr16,67121121,75814473,-0.297
chr16,77634832,79119914,1.085
chr16,84765778,85452994,0.115
chr16,87403043,87568366,-0.451
chr17,2685121,3399556,0.673
chr17,3846437,15405115,-0.297
chr17,18960196,20577955,-0.655
chr17,26557702,39564269,-0.749
chr17,39729710,39773979,-0.256
chr17,40472235,41867117,0.235
chr17,42361422,55793590,-0.114
chr17,57366313,57775091,0.667
chr17,61057584,65804969,-0.027
chr18,1386336,2493004,0.008
chr18,11188616,23411046,0.287
chr18,24450837,28461994,-1.193
chr18,31254137,32928202,0.459
chr18,42764825,45727824,0.92
chr18,57975751,60514041,0.039
chr18,61839052,62091944,-0.983
chr18,63058018,70684075,-0.063
chr19,7218821,10358875,0.181
chr19,14169310,17663300,-0.586
chr19,18546001,24961012,-0.899
chr19,32058836,49914868,0.717
chr19,54355066,54602771,0.638
chr19,56506473,57234210,-0.233
chr20,980190,14006363,-0.102
chr20,17043456,21258814,0.516
chr20,22439471,28010331,-0.715
chr20,30885103,32340800,-0.402
chr20,33278571,33394107,-0.136
chr20,37909526,39179664,0.008
chr20,47861035,50162134,-0.064
chr21,3574374,7148248,-0.549
chr21,9561835,12796067,-0.413
chr21,18234287,30672390,0.054
chr21,31119482,33041484,0.385
chr21,37345287,42031711,-0.639
chr22,17003277,19403346,-0.127
chr22,20504857,25065638,-0.027
chr22,26636147,28112072,-0.622
chr22,39327898,39514268,-0.675
chr22,48765228,48955439,-0.964
chr22,51045863,51267874,-0.272
chrX,25313576,27264408,-1.493
chrX,28170034,29361881,-0.765
chrX,32565796,38928164,0.248
chrX,45931737,52798085,-0.008
chrX,52993632,56167475,0.611
chrX,57305275,63326144,-0.137
chrX,65609931,67386181,0.208
chrX,67739004,71517945,0.58
chrX,75565847,77527463,0.33
chrX,81020834,81854793,0.397
chrX,81929837,85375876,0.479
chrX,97893697,104193774,0.091
chrX,110414567,114188053,-0.396
chrX,115050384,115712292,-0.9
chrX,136568901,140410024,-0.205
chrX,141944291,142179540,0.081
chrY,891250,12509721,-0.169
chrY,15499225,23510723,0.394
chrY,32467702,37653727,0.004
chrY,46256270,47359996,-0.31
chrY,47392730,51431595,-0.22
chrY,51796266,58996547,-0.009
